Title type,IMDb Rating,Runtime (mins),Year,Num. Votes
Feature Film,6.9,136,2005,267453
Feature Film,8,115,2008,177144
Feature Film,7.2,123,1998,179182
Feature Film,7.6,124,2008,194210
Feature Film,6.6,106,2008,339192
Feature Film,7.2,118,2002,224142
Feature Film,6.5,108,2004,197419
Feature Film,7,111,2003,291673
Feature Film,7.4,105,1999,273671
Feature Film,7.8,152,2009,178180
Feature Film,6.8,112,2002,210938
Feature Film,7.3,90,1997,165317
Feature Film,6.4,100,2010,250555
Feature Film,7.5,147,2006,194910
Feature Film,7.3,107,2007,194559
Feature Film,6.7,124,2002,64567
Feature Film,7.6,101,2001,275571
Feature Film,7.7,129,1996,136381
Feature Film,6.6,106,2011,183833
Feature Film,7.2,96,2008,203201
Feature Film,7.3,90,2003,182644
Feature Film,7.1,110,1996,308458
Feature Film,7.6,101,2011,152529
Feature Film,8.1,94,1979,280885
Feature Film,7.6,85,1988,117912
Feature Film,8,137,1968,144870
Feature Film,7.1,106,2013,151436
Feature Film,6.5,85,2005,95793
Feature Film,6.4,109,2003,312324
Feature Film,7.1,81,2002,213136
Feature Film,7.7,114,2002,146482
Feature Film,6.7,98,2000,185492
Feature Film,7.1,127,2009,115342
Feature Film,6.9,113,2011,214477
Feature Film,8.1,154,2000,178506
Feature Film,7,97,2014,25603
Feature Film,8.5,88,1957,125510
Feature Film,6.9,105,2007,190202
Feature Film,6.3,91,2014,1458
